user_id,SLIM,EASE_R,TopPop,UserKNNcosine,UserKNNpearson,UserKNNjaccard,UserKNNtversky,ItemKNNcosine,ItemKNNpearson,ItemKNNjaccard,ItemKNNtversky
0,0.31578946,0.31578946,0.05263158,0.2631579,0.15789473,0.31578946,0.31578946,0.21052632,0.2631579,0.2631579,0.31578946
1,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4
2,0.4,0.33333334,0.13333334,0.33333334,0.0,0.26666668,0.4,0.46666667,0.2,0.06666667,0.4
3,0.2,0.2,0.2,0.3,0.0,0.2,0.2,0.2,0.1,0.1,0.2
4,0.2,0.3,0.15,0.3,0.0,0.25,0.3,0.25,0.25,0.25,0.15
5,0.25,0.25,0.1,0.2,0.0,0.3,0.2,0.3,0.25,0.1,0.2
6,0.2,0.15,0.075,0.175,0.15,0.15,0.125,0.125,0.175,0.15,0.2
7,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
8,0.125,0.125,0.0625,0.125,0.125,0.1875,0.1875,0.125,0.125,0.1875,0.125
9,0.22222222,0.22222222,0.22222222,0.22222222,0.0,0.22222222,0.22222222,0.11111111,0.22222222,0.11111111,0.11111111
10,0.2857143,0.2857143,0.23809524,0.2857143,0.23809524,0.2857143,0.23809524,0.2857143,0.14285715,0.0952381,0.33333334
11,0.1923077,0.1923077,0.115384616,0.115384616,0.07692308,0.115384616,0.115384616,0.115384616,0.23076923,0.07692308,0.1923077
12,0.375,0.375,0.25,0.375,0.0,0.25,0.375,0.25,0.25,0.125,0.25
13,0.25,0.25,0.041666668,0.25,0.20833333,0.25,0.20833333,0.20833333,0.125,0.16666667,0.20833333
14,0.16666667,0.1388889,0.055555556,0.11111111,0.0,0.083333336,0.083333336,0.11111111,0.1388889,0.083333336,0.16666667
15,0.33333334,0.26666668,0.0,0.2,0.0,0.2,0.13333334,0.13333334,0.2,0.06666667,0.26666668
16,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
17,0.25,0.25,0.0,0.1,0.05,0.15,0.1,0.2,0.15,0.15,0.2
18,0.42857143,0.42857143,0.2857143,0.42857143,0.5714286,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.42857143
19,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,0.4,0.4,0.2,0.2,0.0,0.2,0.2,0.5,0.4,0.4,0.3
21,0.28,0.28,0.08,0.16,0.08,0.12,0.16,0.16,0.16,0.16,0.28
22,0.2857143,0.2857143,0.0,0.17857143,0.10714286,0.14285715,0.17857143,0.071428575,0.14285715,0.17857143,0.25
23,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.3,0.4,0.0,0.5,0.0,0.5,0.4,0.2,0.1,0.1,0.2
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.22222222,0.19444445,0.027777778,0.22222222,0.027777778,0.19444445,0.25,0.25,0.19444445,0.1388889,0.16666667
27,0.33333334,0.33333334,0.0,0.33333334,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0
28,0.225,0.175,0.025,0.175,0.075,0.125,0.15,0.125,0.125,0.15,0.15
29,0.33333334,0.33333334,0.11111111,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.0,0.22222222,0.22222222
30,0.45454547,0.36363637,0.45454547,0.6363636,0.54545456,0.6363636,0.6363636,0.54545456,0.72727275,0.54545456,0.54545456
31,0.36363637,0.45454547,0.09090909,0.27272728,0.0,0.27272728,0.36363637,0.18181819,0.36363637,0.27272728,0.36363637
32,0.22222222,0.22222222,0.11111111,0.16666667,0.16666667,0.055555556,0.22222222,0.16666667,0.16666667,0.11111111,0.22222222
33,0.4,0.4,0.0,0.4,0.2,0.2,0.0,0.2,0.2,0.4,0.4
34,1.0,1.0,0.33333334,1.0,1.0,1.0,1.0,1.0,1.0,0.33333334,0.6666667
35,0.31578946,0.31578946,0.05263158,0.21052632,0.0,0.21052632,0.21052632,0.21052632,0.2631579,0.21052632,0.2631579
36,0.2,0.22222222,0.08888889,0.08888889,0.022222223,0.13333334,0.13333334,0.08888889,0.15555556,0.06666667,0.22222222
37,0.4,0.4,0.3,0.5,0.0,0.4,0.5,0.3,0.3,0.1,0.3
38,0.45454547,0.36363637,0.18181819,0.45454547,0.36363637,0.45454547,0.36363637,0.36363637,0.27272728,0.27272728,0.27272728
39,0.5,0.5,0.16666667,0.33333334,0.0,0.33333334,0.33333334,0.6666667,0.5,0.16666667,0.33333334
40,0.1904762,0.1904762,0.0952381,0.14285715,0.0,0.14285715,0.14285715,0.0952381,0.04761905,0.04761905,0.1904762
41,0.25,0.25,0.25,0.375,0.25,0.375,0.375,0.25,0.375,0.125,0.125
42,0.25,0.33333334,0.0,0.0,0.0,0.0,0.0,0.16666667,0.25,0.16666667,0.25
43,0.6666667,0.5555556,0.44444445,0.44444445,0.44444445,0.44444445,0.5555556,0.6666667,0.33333334,0.5555556,0.44444445
44,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2
45,0.09638554,0.084337346,0.036144577,0.072289154,0.012048192,0.072289154,0.084337346,0.09638554,0.04819277,0.060240965,0.084337346
46,0.3846154,0.30769232,0.07692308,0.07692308,0.07692308,0.07692308,0.07692308,0.15384616,0.15384616,0.07692308,0.30769232
47,0.4,0.33333334,0.0,0.26666668,0.0,0.26666668,0.26666668,0.46666667,0.4,0.6,0.46666667
48,0.2173913,0.17391305,0.17391305,0.08695652,0.17391305,0.08695652,0.08695652,0.04347826,0.17391305,0.0,0.08695652
49,0.33333334,0.33333334,0.0,0.33333334,0.33333334,0.0,0.0,0.33333334,0.33333334,0.6666667,0.33333334
50,0.18181819,0.18181819,0.27272728,0.27272728,0.18181819,0.36363637,0.27272728,0.18181819,0.18181819,0.27272728,0.18181819
51,0.2,0.2,0.0,0.08,0.0,0.08,0.08,0.0,0.0,0.04,0.16
52,0.23529412,0.1764706,0.05882353,0.11764706,0.11764706,0.11764706,0.11764706,0.05882353,0.1764706,0.11764706,0.1764706
53,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.3
54,0.29411766,0.29411766,0.0,0.05882353,0.0,0.05882353,0.0,0.05882353,0.1764706,0.1764706,0.11764706
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.45454547,0.45454547,0.27272728,0.36363637,0.36363637,0.45454547,0.45454547,0.36363637,0.36363637,0.09090909,0.45454547
57,0.04761905,0.04761905,0.06349207,0.06349207,0.04761905,0.06349207,0.06349207,0.07936508,0.12698413,0.04761905,0.0952381
58,0.25,0.175,0.05,0.2,0.0,0.175,0.175,0.175,0.125,0.175,0.15
59,0.16666667,0.25,0.083333336,0.16666667,0.0,0.16666667,0.16666667,0.0,0.16666667,0.083333336,0.083333336
60,0.05882353,0.11764706,0.05882353,0.05882353,0.05882353,0.0,0.0,0.05882353,0.05882353,0.05882353,0.11764706
61,0.094339624,0.0754717,0.018867925,0.0754717,0.056603774,0.0754717,0.056603774,0.03773585,0.0754717,0.03773585,0.11320755
62,0.12727273,0.14545454,0.0,0.054545455,0.036363635,0.07272727,0.054545455,0.09090909,0.09090909,0.09090909,0.16363636
63,0.42857143,0.5714286,0.2857143,0.2857143,0.2857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.2857143
64,0.10526316,0.078947365,0.05263158,0.05263158,0.078947365,0.05263158,0.05263158,0.05263158,0.078947365,0.078947365,0.05263158
65,0.27272728,0.18181819,0.0,0.18181819,0.0,0.18181819,0.18181819,0.18181819,0.09090909,0.09090909,0.18181819
66,0.1,0.1,0.3,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.2
67,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
68,0.71428573,0.71428573,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.5714286,0.71428573,0.5714286,0.71428573
69,0.33333334,0.33333334,0.0,0.33333334,0.0,0.33333334,0.33333334,0.16666667,0.25,0.16666667,0.33333334
70,0.5714286,0.5714286,0.0,0.14285715,0.0,0.0,0.0,0.0,0.2857143,0.14285715,0.5714286
71,0.3125,0.25,0.0625,0.125,0.0,0.1875,0.1875,0.0625,0.0625,0.125,0.25
72,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.125,0.0,0.25,0.25
73,0.2857143,0.35714287,0.14285715,0.14285715,0.071428575,0.14285715,0.21428572,0.21428572,0.21428572,0.42857143,0.35714287
74,1.0,1.0,0.14285715,0.5714286,0.42857143,0.5714286,0.42857143,0.2857143,0.5714286,0.5714286,0.85714287
75,0.20454545,0.18181819,0.045454547,0.13636364,0.13636364,0.11363637,0.06818182,0.11363637,0.18181819,0.11363637,0.13636364
76,0.07692308,0.102564104,0.051282052,0.07692308,0.0,0.06837607,0.05982906,0.05982906,0.042735044,0.051282052,0.06837607
77,0.19607843,0.23529412,0.019607844,0.11764706,0.13725491,0.11764706,0.13725491,0.1764706,0.1764706,0.09803922,0.1764706
78,0.33333334,0.33333334,0.0,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334
79,0.175,0.125,0.1,0.1,0.125,0.125,0.1,0.175,0.15,0.175,0.125
80,0.1521739,0.1521739,0.02173913,0.13043478,0.02173913,0.10869565,0.13043478,0.13043478,0.08695652,0.08695652,0.10869565
81,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
82,0.75,0.75,0.25,0.5,0.0,0.5,0.5,0.75,0.75,0.25,0.75
83,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
84,0.44444445,0.44444445,0.0,0.33333334,0.0,0.33333334,0.33333334,0.33333334,0.33333334,0.44444445,0.33333334
85,0.5714286,0.5714286,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.14285715,0.14285715,0.42857143
86,0.23076923,0.23076923,0.15384616,0.0,0.07692308,0.0,0.07692308,0.07692308,0.30769232,0.15384616,0.30769232
87,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.75,0.25,0.5
88,0.20833333,0.125,0.041666668,0.125,0.083333336,0.083333336,0.083333336,0.083333336,0.16666667,0.0,0.20833333
89,0.5555556,0.33333334,0.22222222,0.33333334,0.0,0.33333334,0.33333334,0.44444445,0.22222222,0.22222222,0.33333334
90,0.33333334,0.33333334,0.0952381,0.1904762,0.0952381,0.1904762,0.14285715,0.2857143,0.1904762,0.1904762,0.2857143
